"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
397,4015,24,"CX","PrG-cs","precentral gyrus, left, bank of the central sulcus",35026,113,43,113,-21.4,-22.7,58.2,-23.8457963061455,-22.3285529205547,56.8889110091005,"H0351_2001",184,1
398,4271,24,"CX","LIG","long insular gyri, right",35831,45,83,132,49.6,-52.2,20.6,51.0007800195613,-48.8536526055413,17.4615412056724,"H0351_2001",107,0
401,4121,26,"CX","Pcu-i","precuneus, left, inferior lateral bank of gyrus",36851,96,64,134,-4.2,-50.2,40.2,-4.52664665102383,-48.6094250518036,35.5478839108753,"H0351_2001",170,0
402,4046,10,"CX","orIFG","inferior frontal gyrus, orbital part, right",39797,43,91,58,53.6,23.1,-2.4,53.1703444496971,26.439646905619,-6.76585545147633,"H0351_2001",165,2
403,4058,10,"CX","POrG","posterior orbital gyrus, right",32231,73,107,59,21.8,16.8,-19.9,22.9024990006236,18.1277036014971,-22.7489687271228,"H0351_2001",179,0
404,4094,24,"CX","PoG-il","postcentral gyrus, right, inferior lateral aspect of gyrus",34997,55,47,128,39.4,-38.1,58.1,38.0161127452597,-36.1690815696734,52.3806894506417,"H0351_2001",199,1.73205077648163
405,4014,24,"CX","PrG-il","precentral gyrus, left, inferior lateral aspect of gyrus",35025,119,45,116,-27.8,-26.6,56.6,-29.2535655467069,-24.9955358497517,53.2149409866041,"H0351_2001",184,0
406,4139,24,"CX","STG-i","superior temporal gyrus, right, inferior bank of gyrus",35832,39,112,134,55.7,-62.3,-9.9,59.9543040857543,-60.9858130455175,-13.949606417063,"H0351_2001",133,2
409,4033,10,"CX","MFG-s","middle frontal gyrus, right, superior bank of gyrus",28109,67,50,53,28.7,39.3,40,28.9883992038437,39.6897194996419,36.104358804608,"H0351_2001",143,1.41421353816986
410,4224,10,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",28221,94,75,53,0,31.6,12.7,-1.2194263551015,35.7984726599272,9.54070185671754,"H0351_2001",102,1
411,4908,10,"CX","TP-m","temporal pole, right, medial aspect",32232,70,115,61,24.9,12.6,-28,23.5731421432738,12.8876950807886,-28.0927229259189,"H0351_2001",203,1
412,4109,24,"CX","SMG-s","supramarginal gyrus, right, superior bank of gyrus",39688,53,60,129,41.4,-42.7,44.4,43.0859375849446,-39.1849078396284,36.9948152725721,"H0351_2001",195,2
413,4087,24,"CX","PoG-cs","postcentral gyrus, left, bank of the central sulcus",35027,126,40,118,-35.2,-27.4,62.2,-35.8213973037576,-26.4188058467687,58.1333438727697,"H0351_2001",184,0
414,4145,24,"CX","MTG-s","middle temporal gyrus, right, superior bank of gyrus",35829,57,116,137,36.5,-67,-14,38.1862066008822,-65.3806135045799,-16.2636531337229,"H0351_2001",161,0
417,4027,10,"CX","SFG-l","superior frontal gyrus, right, lateral bank of gyrus",41160,75,54,51,20.3,40.1,35.2,19.0244155589298,41.7548825288663,32.7126926487186,"H0351_2001",191,0
418,4226,10,"CX","CgGf-s","cingulate gyrus, frontal part, right, superior bank of gyrus",28220,86,76,49,8.6,35.7,11,9.39118372784611,42.6425221200992,7.53005504803905,"H0351_2001",101,0
419,4052,10,"CX","MOrG","medial orbital gyrus, right",28189,79,105,57,15.5,19.3,-18.3,17.1269854744291,21.0618395486663,-21.9934254934906,"H0351_2001",147,0
420,4093,24,"CX","PoG-sl","postcentral gyrus, right, superior lateral aspect of gyrus",35009,68,33,126,25.8,-32.4,72.4,26.3328533457663,-29.5468082126426,69.3786610642485,"H0351_2001",177,1
421,4088,24,"CX","PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",35028,130,35,118,-39.4,-26.1,67.4,-38.9640655760974,-25.9835061445993,63.629459945863,"H0351_2001",178,0
422,4146,24,"CX","MTG-i","middle temporal gyrus, right, inferior bank of gyrus",35828,62,117,137,31.3,-67.4,-15.1,33.0888505428563,-66.1984484529002,-17.6061836922951,"H0351_2001",161,0
425,4027,10,"CX","SFG-l","superior frontal gyrus, right, lateral bank of gyrus",41163,74,57,52,21.3,38.2,32.2,19.6545128978276,40.7749694916489,29.3423473925944,"H0351_2001",191,1
426,4273,10,"CX","SIG","short insular gyri, left",28153,126,84,57,-33.9,24.1,3.2,-32.4469911970085,25.8953082623296,-0.772081413864974,"H0351_2001",104,0
427,4049,10,"CX","GRe","gyrus rectus, right",28188,84,107,57,10.2,18.7,-20.5,11.0206670331548,20.6421685411375,-26.0194571954609,"H0351_2001",147,1.41421353816986
428,4092,24,"CX","PoG-cs","postcentral gyrus, right, bank of the central sulcus",35008,78,40,124,15.3,-32.5,64.3,17.9579507283897,-29.8935372776951,63.2801910863316,"H0351_2001",177,0
429,4120,24,"CX","Pcu-s","precuneus, left, superior lateral bank of gyrus",35040,95,68,119,-2.7,-35.6,33.1,-3.16826326342783,-33.6654957509375,31.5057596606692,"H0351_2001",168,0
433,4034,10,"CX","MFG-i","middle frontal gyrus, right, inferior bank of gyrus",36703,44,63,55,52.9,34.1,27,51.0642813515001,36.2702296227695,21.5742571180219,"H0351_2001",143,0
434,4045,10,"CX","orIFG","inferior frontal gyrus, orbital part, left",28154,139,94,60,-47.8,17.8,-7.2,-47.8529412948424,20.7327347338295,-7.27318826510781,"H0351_2001",166,1
435,4049,10,"CX","GRe","gyrus rectus, right",28188,83,107,57,11.3,18.7,-20.5,12.0723279335603,20.733335388314,-25.7392460789838,"H0351_2001",147,1.73205077648163
436,4020,24,"CX","PrG-cs","precentral gyrus, right, bank of the central sulcus",35015,81,36,124,12.1,-31.5,68.5,14.5559707100761,-28.8335644879192,66.8598600170422,"H0351_2001",177,1
437,4074,24,"CX","PCLa-i","paracentral lobule, anterior part, left, inferior bank of gyrus",35039,109,62,117,-17.4,-32.1,38.8,-16.845668853798,-31.4352022791616,36.1678051424524,"H0351_2001",168,1
441,4026,10,"CX","SFG-m","superior frontal gyrus, right, medial bank of gyrus",28120,82,60,47,13,42.4,27.8,10.8044853379383,44.8670434774018,25.1730574294264,"H0351_2001",153,1.73205077648163
442,4079,10,"CX","fro","frontal operculum, left",28152,137,89,57,-45.6,22.4,-2.4,-44.6637156817283,24.7861648431042,-4.90957321039875,"H0351_2001",166,0
443,4905,10,"CX","TP-m","temporal pole, left, medial aspect",36301,118,119,62,-25.9,9.2,-33.1,-23.902218907641,9.3838272111803,-30.9835076995018,"H0351_2001",204,0
444,4018,24,"CX","PrG-sl","precentral gyrus, right, superior lateral aspect of gyrus",35010,85,30,123,8,-28.8,74.7,9.82676798683512,-26.8805997409467,72.3274707061108,"H0351_2001",183,1
445,4234,24,"CX","CgGp-i","cingulate gyrus, parietal part, right, inferior bank of gyrus",35041,83,76,125,9.7,-43.8,25.9,10.9419409400249,-42.5584388470837,22.1489143573299,"H0351_2001",167,3
449,4023,10,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",28117,97,39,52,-2.8,42.7,50.9,-3.10831191406582,42.6838883882619,45.7202883425187,"H0351_2001",154,0
450,4031,10,"CX","MFG-i","middle frontal gyrus, left, inferior bank of gyrus",28162,138,67,55,-46.4,30.7,20.7,-45.2702110569192,31.9602312424922,16.9625828378956,"H0351_2001",206,0
451,4903,10,"CX","TP-s","temporal pole, left, superior aspect",28194,138,99,62,-46.9,14.3,-12.1,-46.8222246818868,16.6753452196278,-12.3358102649795,"H0351_2001",204,0
452,4076,24,"CX","PCLa-s","paracentral lobule, anterior part, right, superior bank of gyrus",35011,91,37,119,1.7,-26.8,66.3,3.16904224915613,-24.8217721852078,63.2619773967104,"H0351_2001",151,0
